1	Liberals might not be talking about #Parakeelia MSM might not be talking about #Parakeelia Voters are very interested in #Parakeelia #auspol	10000	negative	false
2	.@TurnbullMalcolm to CFA volunteers: "Your selflessness is being trampled on." #ausvotes #springst @abcnews https://t.co/ChVU3Lh1bV	10006	neutral	false
3	Peter Dutton's been  ¡°An Outstanding Immigration Minister¡± https://t.co/h42MHZERwS #auspol #immigration	10008	neutral	false
4	If we are to respect women, we must respect S99 @TurnbullMalcolm! https://t.co/mr323rrtIX #auspol #ausvotes #Nauru	10008	negative	false
5	#auspol @TurnbullMalcolm @Barnaby_Joyce We need an investigation https://t.co/fhc5t68jmM	10000	negative	false
6	@ABC24 @PM. Chaotic hung Govt? Most chaos was by LNP .. Interrupting Q time,disgusting treatment of P Slipper, and female PM etc.#ausvotes	10006	negative	false
7	Fascist class warfare killings has only just begun Any1 who votes for LNP is accessories to murder https://t.co/7TDvzYNZJ7 #Auspol #Ausvotes	10006	negative	false
8	Why the #LNP will not stand up to the banks, dodgy bosses and big business tax evasion #insiders #ausvotes #auspol https://t.co/wyU3B2u2lG	10002	negative	false
9	?Turnbull couldn't find a real tradie- now construction workers have their say #auspol #ausunions #faketradie https://t.co/5kpsl2zPRF	10001	negative	false
10	While we're asking about #BorderFarce fiasco, when did @TurnbullMalcolm last mention #ABCC alleged reason for double dissolution #ausvotes	10001	negative	false
